aspek_analisis,hasil
Tahun dengan jumlah funding terbanyak,2016
Tahun dengan total funding terbesar,2017
Bulan dengan jumlah funding terbanyak,June
Bulan dengan total funding terbesar,August
Kota dengan jumlah funding terbanyak,Bengaluru
Kota dengan total funding terbesar,Bengaluru
Industri dengan jumlah funding terbanyak,E-commerce
Industri dengan total funding terbesar,E-commerce
Jenis investasi paling sering,Seed Funding
Jenis investasi dengan total funding terbesar,Private Equity
Startup dengan funding berulang terbanyak,Ola
Startup repeat funding dengan total funding terbesar,Flipkart
Investor paling aktif,Sequoia Capital
Investor dengan total funding terbesar,SoftBank
Kontribusi outlier terhadap total funding,85.12%
